state,date,vmt,vmt19,vmt_19pct,onsite_pct,iv,net_mig_rate,vrm,vrm_19pct,covid_cases,cases_p_1000,vacc_cum,dose1_cum,vacc_cum_pct,vaccine_p,dose_tot_p,dose_p_lag3,dose_p_lag3_6,dose_p_lag6_9,vaccine_p_1000,reopened,pop_million_old,gdp,gdp_pct,gdp_p,gdp_p_in1000,inc_p,inc_p_pct,ppl_persqkm,UR,UR_19_pct,transitcommute_pct,noveh_pct,fare,swaa_wfh,swaa_sample_count,year,pop_million,l_pop_million
AL,2020-04-01,4102,6410,63.99375975039,61.4541699168175,30.351785349287,-0.0145132303425449,109428.889743786,71.6304025097292,0.0012405745767451,1.24057457674514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.892088,15576.0333333333,92.1121910208153,3183.92337450457,3.18392337450457,48205.0,111.714947856315,36.521700550376,13.8,418.181818181818,0.3306044606679915,5.604306501949834,0.1847472227843004,,,2020,5.031362,1.615690722806532
AL,2020-05-01,5393,6463,83.4442209500232,71.1967741286408,29.7752539255937,-0.0782958089255178,119442.062134105,85.2274208470186,0.0022249910818416,2.22499108184161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891705,15576.0333333333,92.1121910208153,3184.17266236074,3.18417266236074,48205.0,111.714947856315,36.521700550376,10.4,335.483870967742,0.3306044606679915,5.604306501949834,0.1847472227843004,47.94,27.0,2020,5.031362,1.615690722806532
AL,2020-06-01,5902,6391,92.3486152401815,75.9263611678683,29.3643230302471,-0.028211818421377,123262.879376312,95.4889980675407,0.0041076816488458,4.10768164884586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891567,15576.0333333333,92.1121910208153,3184.26249366171,3.18426249366171,48205.0,111.714947856315,36.521700550376,8.6,286.666666666667,0.3306044606679915,5.604306501949834,0.1847472227843004,,,2020,5.031362,1.615690722806532
AL,2020-07-01,5802,6261,92.6689027311931,71.56075896591,29.3491660234711,-0.0349593449395633,131087.511438698,88.0916693870217,0.0101562008064773,10.1562008064773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891396,17017.0916666667,99.9884932864447,3478.98466341034,3.47898466341034,46208.0,106.340183646699,36.521700550376,7.5,250.0,0.3306044606679915,5.604306501949834,0.1847472227843004,19.36,16.0,2020,5.031362,1.615690722806532
AL,2020-08-01,5771,6471,89.1825065677639,75.1878897253629,29.2503017184219,-0.0098132457555667,124268.679624785,84.1165584794993,0.0078373078341594,7.83730783415942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891348,17017.0916666667,99.9884932864447,3479.01880354182,3.47901880354182,46208.0,106.340183646699,36.521700550376,6.3,210.0,0.3306044606679915,5.604306501949834,0.1847472227843004,30.49,40.0,2020,5.031362,1.615690722806532
AL,2020-09-01,5552,5815,95.4772141014617,74.4262747329168,29.2756564664974,0.0335274655362187,122936.580606402,86.1038217795481,0.0058556536302067,5.85565363020677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891512,17017.0916666667,99.9884932864447,3478.90216085878,3.47890216085878,46208.0,106.340183646699,36.521700550376,5.9,196.666666666667,0.3306044606679915,5.604306501949834,0.1847472227843004,17.69,18.0,2020,5.031362,1.615690722806532
AL,2020-10-01,5590,5922,94.3937858831476,78.5882387972752,29.363981471775,-0.0016354887985372,127957.529121126,83.1321176078868,0.0076835263755278,7.68352637552785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891504,17033.3916666667,99.9681609344937,3482.24015899132,3.48224015899132,45667.0,104.508318648878,36.521700550376,5.3,176.666666666667,0.3306044606679915,5.604306501949834,0.1847472227843004,14.95,20.0,2020,5.031362,1.615690722806532
AL,2020-11-01,5127,5530,92.7124773960217,75.6881359531586,29.2795053902401,0.0322998604564256,117391.314257458,87.8986976732541,0.0117013399535782,11.7013399535782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.891662,17033.3916666667,99.9681609344937,3482.12768312011,3.48212768312011,45667.0,104.508318648878,36.521700550376,4.9,163.333333333333,0.3306044606679915,5.604306501949834,0.1847472227843004,56.71,18.0,2020,5.031362,1.615690722806532
AL,2020-12-01,5647,6071,93.0159775984187,72.4582393361648,29.3118315454177,0.102408689162646,126687.613663422,102.588665817397,0.0228328451034849,22.8328451034849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.892163,17033.3916666667,99.9681609344937,3481.77108298858,3.48177108298858,45667.0,104.508318648878,36.521700550376,4.5,145.161290322581,0.3306044606679915,5.604306501949834,0.1847472227843004,23.83,44.0,2020,5.031362,1.615690722806532
AL,2021-01-01,5119,5374,95.2549311499814,76.1685307825094,29.2708967583096,0.0492600365791541,117765.550698385,87.1196602829404,0.0201154687961174,20.1154687961174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.892404,17250.15,102.41620992073,3525.90464728587,3.52590464728587,52655.0,122.976854987505,36.521700550376,4.2,113.513513513514,0.3306044606679915,5.604306501949834,0.2417176397359081,34.58,35.0,2021,5.049846,1.6193577477727799
